z [Mm]	log(T) [K]
-7.632812857627868652e-01	4.130125045776367188e+00	9.773562662303447723e-03
-7.488760948181152344e-01	4.128034591674804688e+00	1.012097485363483429e-02
-7.345060706138610840e-01	4.125929832458496094e+00	1.048245932906866074e-02
-7.201732993125915527e-01	4.123807907104492188e+00	1.084354985505342484e-02
-7.058748602867126465e-01	4.121662139892578125e+00	1.124493964016437531e-02
-6.916136145591735840e-01	4.119505405426025391e+00	1.165079139173030853e-02
-6.773867011070251465e-01	4.117333889007568359e+00	1.205617934465408325e-02
-6.631941199302673340e-01	4.115132808685302734e+00	1.251423731446266174e-02
-6.490340232849121094e-01	4.112911224365234375e+00	1.299538277089595795e-02
-6.349081993103027344e-01	4.110667705535888672e+00	1.349129341542720795e-02
-6.208137869834899902e-01	4.108399391174316406e+00	1.403025910258293152e-02
-6.067528128623962402e-01	4.106111526489257812e+00	1.457777619361877441e-02
-5.927224159240722656e-01	4.103793621063232422e+00	1.513934973627328873e-02
-5.787243247032165527e-01	4.101433277130126953e+00	1.574814692139625549e-02
-5.647549033164978027e-01	4.099046230316162109e+00	1.640588603913784027e-02
-5.508170127868652344e-01	4.096644878387451172e+00	1.707324944436550140e-02
-5.369086265563964844e-01	4.094213485717773438e+00	1.776823028922080994e-02
-5.230298042297363281e-01	4.091745376586914062e+00	1.851774938404560089e-02
-5.091795921325683594e-01	4.089239120483398438e+00	1.930870302021503448e-02
-4.953570067882537842e-01	4.086704254150390625e+00	2.012489922344684601e-02
-4.815630912780761719e-01	4.084146022796630859e+00	2.096260897815227509e-02
-4.677948653697967529e-01	4.081562519073486328e+00	2.181329019367694855e-02
-4.540553092956542969e-01	4.078959941864013672e+00	2.266993373632431030e-02
-4.403413832187652588e-01	4.076313018798828125e+00	2.356761507689952850e-02
-4.266532659530639648e-01	4.073595046997070312e+00	2.454664930701255798e-02
-4.129920005798339844e-01	4.070804595947265625e+00	2.561967074871063232e-02
-3.993543982505798340e-01	4.067947387695312500e+00	2.678550779819488525e-02
