z [Mm]	log(T) [K]
2.825443744659423828e+00	5.289707183837890625e+00	6.655772328376770020e-01
2.837853670120239258e+00	5.298131942749023438e+00	6.611907482147216797e-01
2.850267887115478516e+00	5.306364059448242188e+00	6.568321585655212402e-01
2.862685680389404297e+00	5.314367294311523438e+00	6.525588631629943848e-01
2.875107288360595703e+00	5.322140216827392578e+00	6.483685374259948730e-01
2.887536048889160156e+00	5.329722881317138672e+00	6.442149877548217773e-01
2.899967908859252930e+00	5.337113380432128906e+00	6.401240229606628418e-01
2.912403106689453125e+00	5.344354152679443359e+00	6.360406279563903809e-01
2.924845218658447266e+00	5.351476669311523438e+00	6.319391727447509766e-01
2.937289953231811523e+00	5.358448982238769531e+00	6.278638839721679688e-01
2.949742078781127930e+00	5.365289688110351562e+00	6.237936019897460938e-01
2.962198972702026367e+00	5.372083663940429688e+00	6.196260452270507812e-01
2.974661111831665039e+00	5.378719329833984375e+00	6.155541539192199707e-01
2.987129926681518555e+00	5.385224819183349609e+00	6.114940047264099121e-01
2.999605655670166016e+00	5.391649723052978516e+00	6.073716878890991211e-01
3.012085199356079102e+00	5.398025512695312500e+00	6.031641364097595215e-01
3.024573087692260742e+00	5.404347896575927734e+00	5.988855361938476562e-01
3.037065982818603516e+00	5.410665512084960938e+00	5.944578647613525391e-01
3.049566030502319336e+00	5.416957378387451172e+00	5.899385213851928711e-01
3.062073945999145508e+00	5.423209667205810547e+00	5.853584408760070801e-01
3.074588060379028320e+00	5.429358482360839844e+00	5.808188319206237793e-01
3.087110996246337891e+00	5.435404300689697266e+00	5.762969851493835449e-01
3.099639892578125000e+00	5.441387653350830078e+00	5.717090964317321777e-01
3.112178325653076172e+00	5.447369575500488281e+00	5.669853687286376953e-01
3.124722957611083984e+00	5.453323841094970703e+00	5.621824860572814941e-01
3.137276887893676758e+00	5.459245681762695312e+00	5.573256611824035645e-01
3.149839878082275391e+00	5.465087890625000000e+00	5.525034070014953613e-01
3.162411928176879883e+00	5.470841407775878906e+00	5.477237105369567871e-01
3.174992084503173828e+00	5.476453781127929688e+00	5.430713891983032227e-01
3.187582015991210938e+00	5.481908798217773438e+00	5.385763049125671387e-01
3.200181961059570312e+00	5.487207889556884766e+00	5.342288613319396973e-01
3.212790012359619141e+00	5.492379188537597656e+00	5.299686789512634277e-01
3.225409030914306641e+00	5.497433185577392578e+00	5.257638692855834961e-01
3.238039970397949219e+00	5.502382755279541016e+00	5.216229557991027832e-01
3.250679016113281250e+00	5.507240295410156250e+00	5.175192952156066895e-01
3.263329982757568359e+00	5.512041568756103516e+00	5.133786797523498535e-01
3.275992870330810547e+00	5.516786575317382812e+00	5.092319846153259277e-01
3.288665056228637695e+00	5.521499156951904297e+00	5.050210952758789062e-01
3.301350116729736328e+00	5.526165008544921875e+00	5.007972121238708496e-01
3.314047098159790039e+00	5.530797958374023438e+00	4.965134859085083008e-01
3.326756715774536133e+00	5.535426139831542969e+00	4.921607375144958496e-01
3.339478015899658203e+00	5.539985179901123047e+00	4.878845214843750000e-01
3.352212667465209961e+00	5.544438838958740234e+00	4.837195575237274170e-01
3.364960908889770508e+00	5.548805236816406250e+00	4.796185493469238281e-01
3.377720832824707031e+00	5.553106307983398438e+00	4.755184352397918701e-01
3.390496969223022461e+00	5.557356834411621094e+00	4.714145660400390625e-01
3.403285980224609375e+00	5.561577320098876953e+00	4.672503471374511719e-01
3.416090011596679688e+00	5.565780639648437500e+00	4.630190134048461914e-01
3.428909063339233398e+00	5.569917678833007812e+00	4.588618576526641846e-01
3.441741943359375000e+00	5.573990821838378906e+00	4.547543525695800781e-01
3.454590082168579102e+00	5.577966213226318359e+00	4.507911503314971924e-01
3.467453956604003906e+00	5.581781864166259766e+00	4.470573365688323975e-01
3.480334043502807617e+00	5.585499286651611328e+00	4.433821737766265869e-01
3.493231058120727539e+00	5.589158058166503906e+00	4.397030770778656006e-01
3.506145000457763672e+00	5.592765808105468750e+00	4.360196292400360107e-01
3.519076108932495117e+00	5.596322059631347656e+00	4.323632419109344482e-01
3.532023906707763672e+00	5.599855422973632812e+00	4.286634922027587891e-01
3.544990062713623047e+00	5.603374958038330078e+00	4.249211847782135010e-01
3.557974100112915039e+00	5.606844902038574219e+00	4.212314188480377197e-01
3.570977926254272461e+00	5.610284328460693359e+00	4.175157546997070312e-01
3.583997964859008789e+00	5.613708496093750000e+00	4.137722253799438477e-01
3.597039937973022461e+00	5.617093086242675781e+00	4.100551009178161621e-01
3.610100984573364258e+00	5.620434761047363281e+00	4.063567519187927246e-01
3.623183012008666992e+00	5.623723983764648438e+00	4.027136564254760742e-01
3.636282920837402344e+00	5.626957416534423828e+00	3.991351425647735596e-01
3.649405956268310547e+00	5.630114555358886719e+00	3.956441283226013184e-01
3.662549972534179688e+00	5.633233547210693359e+00	3.921563327312469482e-01
3.675715923309326172e+00	5.636340141296386719e+00	3.886070251464843750e-01
3.688904047012329102e+00	5.639451026916503906e+00	3.849707245826721191e-01
3.702114105224609375e+00	5.642530918121337891e+00	3.814030587673187256e-01
3.715347290039062500e+00	5.645509719848632812e+00	3.780450224876403809e-01
3.728605031967163086e+00	5.648412704467773438e+00	3.747864067554473877e-01
3.741885662078857422e+00	5.651280403137207031e+00	3.715246021747589111e-01
3.755189657211303711e+00	5.654110908508300781e+00	3.682857453823089600e-01
3.768519878387451172e+00	5.656911373138427734e+00	3.650403916835784912e-01
3.781876087188720703e+00	5.659685611724853516e+00	3.618198931217193604e-01
3.795256853103637695e+00	5.662366867065429688e+00	3.588011860847473145e-01
3.808665037155151367e+00	5.664937973022460938e+00	3.560132086277008057e-01
3.822097778320312500e+00	5.667418479919433594e+00	3.533809185028076172e-01
3.835559129714965820e+00	5.669866085052490234e+00	3.507443666458129883e-01
3.849047899246215820e+00	5.672283649444580078e+00	3.481046557426452637e-01
3.862565994262695312e+00	5.674670696258544922e+00	3.454918861389160156e-01
3.876111030578613281e+00	5.677012920379638672e+00	3.429395854473114014e-01
3.889684677124023438e+00	5.679315567016601562e+00	3.404327630996704102e-01
3.903289794921875000e+00	5.681602954864501953e+00	3.379064500331878662e-01
3.916923761367797852e+00	5.683856487274169922e+00	3.354138433933258057e-01
3.930589199066162109e+00	5.686066627502441406e+00	3.329863846302032471e-01
3.944286108016967773e+00	5.688242435455322266e+00	3.306005001068115234e-01
3.958014965057373047e+00	5.690377235412597656e+00	3.282858729362487793e-01
3.971775054931640625e+00	5.692471504211425781e+00	3.260501325130462646e-01
3.985569000244140625e+00	5.694544315338134766e+00	3.237853646278381348e-01
3.999393939971923828e+00	5.696618080139160156e+00	3.214584290981292725e-01
4.013255119323730469e+00	5.698685169219970703e+00	3.190990090370178223e-01
4.027149200439453125e+00	5.700752735137939453e+00	3.166705071926116943e-01
4.041079998016357422e+00	5.702812671661376953e+00	3.142090439796447754e-01
4.055044174194335938e+00	5.704846858978271484e+00	3.117895126342773438e-01
4.069046974182128906e+00	5.706844806671142578e+00	3.094339966773986816e-01
4.083084106445312500e+00	5.708813667297363281e+00	3.071363866329193115e-01
4.097159862518310547e+00	5.710735797882080078e+00	3.049218654632568359e-01
4.111272811889648438e+00	5.712640762329101562e+00	3.026929497718811035e-01
4.125424861907958984e+00	5.714509963989257812e+00	3.005685508251190186e-01
4.139616966247558594e+00	5.716335773468017578e+00	2.985399961471557617e-01
4.153848171234130859e+00	5.718101978302001953e+00	2.966934144496917725e-01
4.168118953704833984e+00	5.719815731048583984e+00	2.949481606483459473e-01
4.182431221008300781e+00	5.721512317657470703e+00	2.931898236274719238e-01
4.196784973144531250e+00	5.723201274871826172e+00	2.914132475852966309e-01
4.211181163787841797e+00	5.724872112274169922e+00	2.896622717380523682e-01
4.225618839263916016e+00	5.726529121398925781e+00	2.879060506820678711e-01
4.240101814270019531e+00	5.728145122528076172e+00	2.862668633460998535e-01
4.254629135131835938e+00	5.729720592498779297e+00	2.847282588481903076e-01
4.269199848175048828e+00	5.731262683868408203e+00	2.832206487655639648e-01
4.283816814422607422e+00	5.732778549194335938e+00	2.817774415016174316e-01
4.298480033874511719e+00	5.734269142150878906e+00	2.803666591644287109e-01
4.313190937042236328e+00	5.735746860504150391e+00	2.789390087127685547e-01
4.327949047088623047e+00	5.737224102020263672e+00	2.774631381034851074e-01
4.342753887176513672e+00	5.738698005676269531e+00	2.759242951869964600e-01
4.357610225677490234e+00	5.740182876586914062e+00	2.742869257926940918e-01
4.372513771057128906e+00	5.741675376892089844e+00	2.725747525691986084e-01
4.387469768524169922e+00	5.743181228637695312e+00	2.707599103450775146e-01
4.402474880218505859e+00	5.744706153869628906e+00	2.688607275485992432e-01
4.417532920837402344e+00	5.746197223663330078e+00	2.671204805374145508e-01
4.432644844055175781e+00	5.747646331787109375e+00	2.654932141304016113e-01
4.447809219360351562e+00	5.749070644378662109e+00	2.639199793338775635e-01
4.463027000427246094e+00	5.750472068786621094e+00	2.623840272426605225e-01
4.478300094604492188e+00	5.751835346221923828e+00	2.609637081623077393e-01
4.493628025054931641e+00	5.753175735473632812e+00	2.595741450786590576e-01
4.509013175964355469e+00	5.754507064819335938e+00	2.581575810909271240e-01
4.524455070495605469e+00	5.755846500396728516e+00	2.566606402397155762e-01
4.539955139160156250e+00	5.757183074951171875e+00	2.551107108592987061e-01
4.555513858795166016e+00	5.758523464202880859e+00	2.535507678985595703e-01
4.571132183074951172e+00	5.759828567504882812e+00	2.521197795867919922e-01
4.586811065673828125e+00	5.761098861694335938e+00	2.507798969745635986e-01
4.602550029754638672e+00	5.762350082397460938e+00	2.494404315948486328e-01
4.618350982666015625e+00	5.763599395751953125e+00	2.480679601430892944e-01
4.634216785430908203e+00	5.764839172363281250e+00	2.466982901096343994e-01
4.650144100189208984e+00	5.766083240509033203e+00	2.452571690082550049e-01
4.666135787963867188e+00	5.767335891723632812e+00	2.437306344509124756e-01
4.682194232940673828e+00	5.768598079681396484e+00	2.421361953020095825e-01
4.698318004608154297e+00	5.769890785217285156e+00	2.403727918863296509e-01
4.714509963989257812e+00	5.771191120147705078e+00	2.385677397251129150e-01
4.730769157409667969e+00	5.772507667541503906e+00	2.366453111171722412e-01
4.747095108032226562e+00	5.773824691772460938e+00	2.347435206174850464e-01
4.763493061065673828e+00	5.775115013122558594e+00	2.329473197460174561e-01
4.779961109161376953e+00	5.776402473449707031e+00	2.311153411865234375e-01
4.796501159667968750e+00	5.777684688568115234e+00	2.292842864990234375e-01
4.813111782073974609e+00	5.778967857360839844e+00	2.274095714092254639e-01
4.829795837402343750e+00	5.780235767364501953e+00	2.255757451057434082e-01
4.846555233001708984e+00	5.781500816345214844e+00	2.237010896205902100e-01
4.863389968872070312e+00	5.782774448394775391e+00	2.217388600111007690e-01
4.880300045013427734e+00	5.784050464630126953e+00	2.197604030370712280e-01
4.897287845611572266e+00	5.785283088684082031e+00	2.180308848619461060e-01
4.914352893829345703e+00	5.786435127258300781e+00	2.166898548603057861e-01
4.931497097015380859e+00	5.787534713745117188e+00	2.155362814664840698e-01
4.948720932006835938e+00	5.788599967956542969e+00	2.145044654607772827e-01
4.966025829315185547e+00	5.789632797241210938e+00	2.136069387197494507e-01
4.983411788940429688e+00	5.790644168853759766e+00	2.127309739589691162e-01
5.000882148742675781e+00	5.791640281677246094e+00	2.119129151105880737e-01
5.018435955047607422e+00	5.792585372924804688e+00	2.113395184278488159e-01
5.036074161529541016e+00	5.793494224548339844e+00	2.108816355466842651e-01
5.053798198699951172e+00	5.794379234313964844e+00	2.104876339435577393e-01
5.071609020233154297e+00	5.795254707336425781e+00	2.101232409477233887e-01
5.089509010314941406e+00	5.796120643615722656e+00	2.097517699003219604e-01
5.107497215270996094e+00	5.796977996826171875e+00	2.094093114137649536e-01
5.125574111938476562e+00	5.797827243804931641e+00	2.090696543455123901e-01
5.143743991851806641e+00	5.798677444458007812e+00	2.086986154317855835e-01
5.162004947662353516e+00	5.799520969390869141e+00	2.083305716514587402e-01
5.180359840393066406e+00	5.800359249114990234e+00	2.079758197069168091e-01
5.198809146881103516e+00	5.801196098327636719e+00	2.076079696416854858e-01
5.217351913452148438e+00	5.802022933959960938e+00	2.072819024324417114e-01
5.235993862152099609e+00	5.802849769592285156e+00	2.069388777017593384e-01
5.254732131958007812e+00	5.803686141967773438e+00	2.065314054489135742e-01
5.273569107055664062e+00	5.804525375366210938e+00	2.060960233211517334e-01
5.292504787445068359e+00	5.805365562438964844e+00	2.056123465299606323e-01
5.311542987823486328e+00	5.806210994720458984e+00	2.050985097885131836e-01
5.330683231353759766e+00	5.807064056396484375e+00	2.044953703880310059e-01
5.349925994873046875e+00	5.807935714721679688e+00	2.037623375654220581e-01
5.369274616241455078e+00	5.808825492858886719e+00	2.028693705797195435e-01
5.388727188110351562e+00	5.809732913970947266e+00	2.018458843231201172e-01
5.408288002014160156e+00	5.810659408569335938e+00	2.006782591342926025e-01
5.427955150604248047e+00	5.811607837677001953e+00	1.993502229452133179e-01
5.447731971740722656e+00	5.812587738037109375e+00	1.978152692317962646e-01
5.467618942260742188e+00	5.813580036163330078e+00	1.961899250745773315e-01
5.487617015838623047e+00	5.814568996429443359e+00	1.945587247610092163e-01
5.507729053497314453e+00	5.815569400787353516e+00	1.928127557039260864e-01
5.527954101562500000e+00	5.816576957702636719e+00	1.909925043582916260e-01
5.548295497894287109e+00	5.817617416381835938e+00	1.889137327671051025e-01
5.568751811981201172e+00	5.818667888641357422e+00	1.867457479238510132e-01
5.589326858520507812e+00	5.819736480712890625e+00	1.844395101070404053e-01
5.610021114349365234e+00	5.820802688598632812e+00	1.821856647729873657e-01
5.630836009979248047e+00	5.821843147277832031e+00	1.800350099802017212e-01
5.651770114898681641e+00	5.822884082794189453e+00	1.778536140918731689e-01
5.672830104827880859e+00	5.823949813842773438e+00	1.754746437072753906e-01
5.694012165069580078e+00	5.824993133544921875e+00	1.732804030179977417e-01
5.715320110321044922e+00	5.825986862182617188e+00	1.713893711566925049e-01
5.736753940582275391e+00	5.826948642730712891e+00	1.696676760911941528e-01
5.758316993713378906e+00	5.827862262725830078e+00	1.682507395744323730e-01
5.780010223388671875e+00	5.828732967376708984e+00	1.670141965150833130e-01
5.801833152770996094e+00	5.829586982727050781e+00	1.658267378807067871e-01
5.823785781860351562e+00	5.830433368682861328e+00	1.646026521921157837e-01
5.845874309539794922e+00	5.831268310546875000e+00	1.634169369935989380e-01
5.868099212646484375e+00	5.832094669342041016e+00	1.622478663921356201e-01
5.890459060668945312e+00	5.832912921905517578e+00	1.610785722732543945e-01
5.912954807281494141e+00	5.833737373352050781e+00	1.598461866378784180e-01
5.935591220855712891e+00	5.834557533264160156e+00	1.585740447044372559e-01
5.958367824554443359e+00	5.835385322570800781e+00	1.572399884462356567e-01
5.981285572052001953e+00	5.836210727691650391e+00	1.558753550052642822e-01
6.004345417022705078e+00	5.837048530578613281e+00	1.543617099523544312e-01
6.027553081512451172e+00	5.837903976440429688e+00	1.526683270931243896e-01
6.050904750823974609e+00	5.838788509368896484e+00	1.506989896297454834e-01
6.074403762817382812e+00	5.839700698852539062e+00	1.485620290040969849e-01
6.098052978515625000e+00	5.840596199035644531e+00	1.466003209352493286e-01
6.121852874755859375e+00	5.841464519500732422e+00	1.447126567363739014e-01
6.145803928375244141e+00	5.842327117919921875e+00	1.427800804376602173e-01
6.169909000396728516e+00	5.843208312988281250e+00	1.406261324882507324e-01
6.194169998168945312e+00	5.844124317169189453e+00	1.380846202373504639e-01
6.218585968017578125e+00	5.845052719116210938e+00	1.354999840259552002e-01
6.243158817291259766e+00	5.845924377441406250e+00	1.334976702928543091e-01
6.267893314361572266e+00	5.846718311309814453e+00	1.320296972990036011e-01
6.292788028717041016e+00	5.847488880157470703e+00	1.306490004062652588e-01
6.317845821380615234e+00	5.848244190216064453e+00	1.293189376592636108e-01
6.343068599700927734e+00	5.848988056182861328e+00	1.280010342597961426e-01
6.368454933166503906e+00	5.849726200103759766e+00	1.266658902168273926e-01
6.394011020660400391e+00	5.850458145141601562e+00	1.253558248281478882e-01
6.419734954833984375e+00	5.851191520690917969e+00	1.239631921052932739e-01
6.445630073547363281e+00	5.851915359497070312e+00	1.226408332586288452e-01
6.471696376800537109e+00	5.852612018585205078e+00	1.215527355670928955e-01
6.497937202453613281e+00	5.853295326232910156e+00	1.205073148012161255e-01
6.524353981018066406e+00	5.853967189788818359e+00	1.194675043225288391e-01
6.550947189331054688e+00	5.854641437530517578e+00	1.183780059218406677e-01
6.577719211578369141e+00	5.855320930480957031e+00	1.171574667096138000e-01
6.604671955108642578e+00	5.856004714965820312e+00	1.158266291022300720e-01
6.631805896759033203e+00	5.856696128845214844e+00	1.143647432327270508e-01
6.659123897552490234e+00	5.857401371002197266e+00	1.126848086714744568e-01
6.686627864837646484e+00	5.858129978179931641e+00	1.106669306755065918e-01
6.714319229125976562e+00	5.858911991119384766e+00	1.078934818506240845e-01
6.742198944091796875e+00	5.859750747680664062e+00	1.044318601489067078e-01
6.770268917083740234e+00	5.860612869262695312e+00	1.009288057684898376e-01
6.798532009124755859e+00	5.861378669738769531e+00	9.859940409660339355e-02
6.826989173889160156e+00	5.862080574035644531e+00	9.686935693025588989e-02
6.855641365051269531e+00	5.862755298614501953e+00	9.530184417963027954e-02
6.884491920471191406e+00	5.863407611846923828e+00	9.391366690397262573e-02
6.913541793823242188e+00	5.864045619964599609e+00	9.261987358331680298e-02
6.942792892456054688e+00	5.864666938781738281e+00	9.143911302089691162e-02
6.972247123718261719e+00	5.865276336669921875e+00	9.033893793821334839e-02
7.001905918121337891e+00	5.865874290466308594e+00	8.930570632219314575e-02
7.031770706176757812e+00	5.866464614868164062e+00	8.831457048654556274e-02
7.061845302581787109e+00	5.867047309875488281e+00	8.732806146144866943e-02
7.092129230499267578e+00	5.867623329162597656e+00	8.639006316661834717e-02
7.122625827789306641e+00	5.868190765380859375e+00	8.546847105026245117e-02
7.153336048126220703e+00	5.868757247924804688e+00	8.451667428016662598e-02
7.184261798858642578e+00	5.869320392608642578e+00	8.350782841444015503e-02
7.215405941009521484e+00	5.869883060455322266e+00	8.246938139200210571e-02
7.246769905090332031e+00	5.870441436767578125e+00	8.138091862201690674e-02
7.278355121612548828e+00	5.871003627777099609e+00	8.021481335163116455e-02
7.310163974761962891e+00	5.871563434600830078e+00	7.896650582551956177e-02
7.342197895050048828e+00	5.872125625610351562e+00	7.759944349527359009e-02
7.374460220336914062e+00	5.872691154479980469e+00	7.612644135951995850e-02
7.406950950622558594e+00	5.873260498046875000e+00	7.449728995561599731e-02
7.439672946929931641e+00	5.873830795288085938e+00	7.274713367223739624e-02
7.472627639770507812e+00	5.874411582946777344e+00	7.068400084972381592e-02
7.505818843841552734e+00	5.875004768371582031e+00	6.831627339124679565e-02
7.539247989654541016e+00	5.875587463378906250e+00	6.617315113544464111e-02
7.572915077209472656e+00	5.876124858856201172e+00	6.482521444559097290e-02
7.606822967529296875e+00	5.876639366149902344e+00	6.374805420637130737e-02
7.640974521636962891e+00	5.877143383026123047e+00	6.279856711626052856e-02
7.675372123718261719e+00	5.877636432647705078e+00	6.189250946044921875e-02
7.710017204284667969e+00	5.878127098083496094e+00	6.095049530267715454e-02
7.744911193847656250e+00	5.878614425659179688e+00	6.000288948416709900e-02
7.780055522918701172e+00	5.879096984863281250e+00	5.902221798896789551e-02
7.815454483032226562e+00	5.879579067230224609e+00	5.797941982746124268e-02
7.851109504699707031e+00	5.880061626434326172e+00	5.684201046824455261e-02
7.887022495269775391e+00	5.880540847778320312e+00	5.565899983048439026e-02
7.923195362091064453e+00	5.881017684936523438e+00	5.442020297050476074e-02
7.959630012512207031e+00	5.881492614746093750e+00	5.310873314738273621e-02
7.996328830718994141e+00	5.881970405578613281e+00	5.169048532843589783e-02
8.033295631408691406e+00	5.882448196411132812e+00	5.018058419227600098e-02
8.070528984069824219e+00	5.882931232452392578e+00	4.832282662391662598e-02
8.108034133911132812e+00	5.883410453796386719e+00	4.664028808474540710e-02
8.145812034606933594e+00	5.883855819702148438e+00	4.586649686098098755e-02
8.183865547180175781e+00	5.884273529052734375e+00	4.554350301623344421e-02
8.222195625305175781e+00	5.884678840637207031e+00	4.531734809279441833e-02
8.260805130004882812e+00	5.885076522827148438e+00	4.513952136039733887e-02
8.299695968627929688e+00	5.885469436645507812e+00	4.499051719903945923e-02
8.338871002197265625e+00	5.885857582092285156e+00	4.486083239316940308e-02
8.378333091735839844e+00	5.886239051818847656e+00	4.474505037069320679e-02
8.418084144592285156e+00	5.886618137359619141e+00	4.463979229331016541e-02
8.458126068115234375e+00	5.886993885040283203e+00	4.454278200864791870e-02
8.498459815979003906e+00	5.887362957000732422e+00	4.445246234536170959e-02
8.539091110229492188e+00	5.887730598449707031e+00	4.436760395765304565e-02
8.580018997192382812e+00	5.888094425201416016e+00	4.428731277585029602e-02
8.621247291564941406e+00	5.888454437255859375e+00	4.421084746718406677e-02
8.662777900695800781e+00	5.888810157775878906e+00	4.413760453462600708e-02
8.704613685607910156e+00	5.889163494110107422e+00	4.406713321805000305e-02
8.746756553649902344e+00	5.889512062072753906e+00	4.399901628494262695e-02
8.789209365844726562e+00	5.889859199523925781e+00	4.393290728330612183e-02
8.831973075866699219e+00	5.890201091766357422e+00	4.386848956346511841e-02
8.875052452087402344e+00	5.890541076660156250e+00	4.380555078387260437e-02
8.918448448181152344e+00	5.890877246856689453e+00	4.374386370182037354e-02
8.962162971496582031e+00	5.891209125518798828e+00	4.368324950337409973e-02
9.006199836730957031e+00	5.891539573669433594e+00	4.362351447343826294e-02
9.050561904907226562e+00	5.891868114471435547e+00	4.356456175446510315e-02
9.095250129699707031e+00	5.892189502716064453e+00	4.350620508193969727e-02
9.140265464782714844e+00	5.892509937286376953e+00	4.344829916954040527e-02
9.185614585876464844e+00	5.892827987670898438e+00	4.339073598384857178e-02
9.231296539306640625e+00	5.893142223358154297e+00	4.333344101905822754e-02
9.277317047119140625e+00	5.893452644348144531e+00	4.327630996704101562e-02
9.323676109313964844e+00	5.893761634826660156e+00	4.321924224495887756e-02
9.370375633239746094e+00	5.894065856933593750e+00	4.316214844584465027e-02
9.417420387268066406e+00	5.894366741180419922e+00	4.310497269034385681e-02
9.464812278747558594e+00	5.894665718078613281e+00	4.304761067032814026e-02
9.512553215026855469e+00	5.894959926605224609e+00	4.298999533057212830e-02
9.560647010803222656e+00	5.895251274108886719e+00	4.293210059404373169e-02
9.609094619750976562e+00	5.895539760589599609e+00	4.287385940551757812e-02
9.657899856567382812e+00	5.895823955535888672e+00	4.281522706151008606e-02
9.707065582275390625e+00	5.896106243133544922e+00	4.275617003440856934e-02
9.756592750549316406e+00	5.896386146545410156e+00	4.269663989543914795e-02
9.806485176086425781e+00	5.896661758422851562e+00	4.263657331466674805e-02
9.856746673583984375e+00	5.896936416625976562e+00	4.257595911622047424e-02
9.907378196716308594e+00	5.897205829620361328e+00	4.251474142074584961e-02
9.958380699157714844e+00	5.897470951080322266e+00	4.245285689830780029e-02
1.000975990295410156e+01	5.897733211517333984e+00	4.239026084542274475e-02
1.006151962280273438e+01	5.897994995117187500e+00	4.232687875628471375e-02
1.011365985870361328e+01	5.898252487182617188e+00	4.226255416870117188e-02
1.016619014739990234e+01	5.898505687713623047e+00	4.219708964228630066e-02
1.021909999847412109e+01	5.898756027221679688e+00	4.213058203458786011e-02
1.027239990234375000e+01	5.899004936218261719e+00	4.206304252147674561e-02
1.032610034942626953e+01	5.899250030517578125e+00	4.199441149830818176e-02
1.038018989562988281e+01	5.899492263793945312e+00	4.192464426159858704e-02
1.043467998504638672e+01	5.899729728698730469e+00	4.185368493199348450e-02
1.048956966400146484e+01	5.899966716766357422e+00	4.178151860833168030e-02
1.054485988616943359e+01	5.900198459625244141e+00	4.170811176300048828e-02
1.060056018829345703e+01	5.900425434112548828e+00	4.163343086838722229e-02
1.065666961669921875e+01	5.900651931762695312e+00	4.155738279223442078e-02
1.071319007873535156e+01	5.900873184204101562e+00	4.147994145750999451e-02
1.077013015747070312e+01	5.901093006134033203e+00	4.140105843544006348e-02
1.082748889923095703e+01	5.901308059692382812e+00	4.132068902254104614e-02
1.088525962829589844e+01	5.901521682739257812e+00	4.123882204294204712e-02
1.094347000122070312e+01	5.901730537414550781e+00	4.115545749664306641e-02
1.100209045410156250e+01	5.901937484741210938e+00	4.107058048248291016e-02
1.106114959716796875e+01	5.902140617370605469e+00	4.098420590162277222e-02
1.112065029144287109e+01	5.902340888977050781e+00	4.089630022644996643e-02
1.118056964874267578e+01	5.902536392211914062e+00	4.080685600638389587e-02
1.124093914031982422e+01	5.902730941772460938e+00	4.071587324142456055e-02
1.130174922943115234e+01	5.902920246124267578e+00	4.062331840395927429e-02
1.136301040649414062e+01	5.903106689453125000e+00	4.052921012043952942e-02
1.142471027374267578e+01	5.903290748596191406e+00	4.043352976441383362e-02
1.148686027526855469e+01	5.903470993041992188e+00	4.033625498414039612e-02
1.154946899414062500e+01	5.903646469116210938e+00	4.023737087845802307e-02
1.161254024505615234e+01	5.903820037841796875e+00	4.013686254620552063e-02
1.167605972290039062e+01	5.903990745544433594e+00	4.003475233912467957e-02
1.174005031585693359e+01	5.904156208038330078e+00	3.993107751011848450e-02
1.180451107025146484e+01	5.904319763183593750e+00	3.982584923505783081e-02
1.186944007873535156e+01	5.904480457305908203e+00	3.971907496452331543e-02
1.193484020233154297e+01	5.904634952545166016e+00	3.961078822612762451e-02
1.200070858001708984e+01	5.904788494110107422e+00	3.950104117393493652e-02
1.206706905364990234e+01	5.904938220977783203e+00	3.938986361026763916e-02
1.213390922546386719e+01	5.905081748962402344e+00	3.927729278802871704e-02
1.220123004913330078e+01	5.905225276947021484e+00	3.916334360837936401e-02
1.226904964447021484e+01	5.905362129211425781e+00	3.904808312654495239e-02
1.233734989166259766e+01	5.905496120452880859e+00	3.893155232071876526e-02
1.240616035461425781e+01	5.905627250671386719e+00	3.881384432315826416e-02
1.247546005249023438e+01	5.905753612518310547e+00	3.869502618908882141e-02
1.254526042938232422e+01	5.905877590179443359e+00	3.857521340250968933e-02
1.261557006835937500e+01	5.905994892120361328e+00	3.845450654625892639e-02
1.268638992309570312e+01	5.906112194061279297e+00	3.833301365375518799e-02
1.275771999359130859e+01	5.906222820281982422e+00	3.821085393428802490e-02
1.282956027984619141e+01	5.906331539154052734e+00	3.808813169598579407e-02
1.290192985534667969e+01	5.906434535980224609e+00	3.796494379639625549e-02
1.297480964660644531e+01	5.906535148620605469e+00	3.784142062067985535e-02
1.304823017120361328e+01	5.906632423400878906e+00	3.771763294935226440e-02
1.312217044830322266e+01	5.906724452972412109e+00	3.759373724460601807e-02
1.319664001464843750e+01	5.906811237335205078e+00	3.746987134218215942e-02
1.327165031433105469e+01	5.906895160675048828e+00	3.734618797898292542e-02
1.334720039367675781e+01	5.906974315643310547e+00	3.722279146313667297e-02
1.342329120635986328e+01	5.907049179077148438e+00	3.709994629025459290e-02
1.349993038177490234e+01	5.907119750976562500e+00	3.697800636291503906e-02
1.357711982727050781e+01	5.907186031341552734e+00	3.685771301388740540e-02
1.365485954284667969e+01	5.907244205474853516e+00	3.673969954252243042e-02
1.373316001892089844e+01	5.907298564910888672e+00	3.662209585309028625e-02
1.381202030181884766e+01	5.907358646392822266e+00	3.648127242922782898e-02
1.389144992828369141e+01	5.907413005828857422e+00	3.635197505354881287e-02
1.397144031524658203e+01	5.907454967498779297e+00	3.623833134770393372e-02
1.405200004577636719e+01	5.907489776611328125e+00	3.614426031708717346e-02
1.413313865661621094e+01	5.907517433166503906e+00	3.607374429702758789e-02
1.421485042572021484e+01	5.907533645629882812e+00	3.602967411279678345e-02
1.429714965820312500e+01	5.907537937164306641e+00	3.601348027586936951e-02
