Intensity	Wavelength
6.110204087232585834e-31	7.624800000000000466e+01
1.140865339197021144e-28	7.640699999999999648e+01
9.663072371100299187e-32	7.654200000000000159e+01
2.302032018610883240e-29	7.672100000000000364e+01
1.053779354712893662e-30	7.709799999999999898e+01
3.573612787219038041e-28	7.720499999999999829e+01
2.831921179159263451e-30	7.723999999999999488e+01
2.799743178638880881e-29	7.730299999999999727e+01
2.308933387682458480e-33	7.731600000000000250e+01
1.073415902094255016e-30	7.761299999999999955e+01
5.365693949164313196e-30	7.762399999999999523e+01
4.548805545177792852e-29	7.765300000000000580e+01
2.373094453799023832e-31	7.773300000000000409e+01
6.894710058505593511e-30	7.791500000000000625e+01
1.848189436853729524e-28	7.792499999999999716e+01
1.528677005814698464e-29	7.793600000000000705e+01
1.087148446402492632e-30	7.793699999999999761e+01
2.330725721513448520e-30	7.798999999999999488e+01
9.451755289514082717e-28	7.800400000000000489e+01
1.131745343979528203e-32	7.801200000000000045e+01
1.873994346524037229e-27	7.808299999999999841e+01
1.280588820652170071e-28	7.814900000000000091e+01
1.057882890477902265e-27	7.815900000000000603e+01
2.186846095286114970e-28	7.818099999999999739e+01
8.822269114951363288e-30	7.818500000000000227e+01
3.100252204331420227e-29	7.820300000000000296e+01
1.470439426412155127e-27	7.830200000000000671e+01
6.867451378753768916e-28	7.841100000000000136e+01
2.098019631444440486e-30	7.842499999999999716e+01
6.404701293707231538e-31	7.843800000000000239e+01
1.088990490013584901e-27	7.846200000000000330e+01
1.666433528309107460e-30	7.848699999999999477e+01
1.308433458444082719e-30	7.853400000000000603e+01
4.364137067915422010e-30	7.857899999999999352e+01
1.889594777798166792e-30	7.859000000000000341e+01
6.465377573910640850e-31	7.859499999999999886e+01
6.502203960425045911e-31	7.865900000000000603e+01
7.434353142233636164e-31	7.868200000000000216e+01
8.263382209473673669e-28	7.871699999999999875e+01
4.018364941445668538e-32	7.884900000000000375e+01
4.752465308664836121e-28	7.885800000000000409e+01
7.530293156225574327e-31	7.886599999999999966e+01
2.156693610154506619e-30	7.886700000000000443e+01
8.072755075882437501e-31	7.887600000000000477e+01
8.027987164010186887e-33	7.889900000000000091e+01
7.068172885372277421e-30	7.890000000000000568e+01
3.687602046309198217e-31	7.890699999999999648e+01
9.126238716056530573e-31	7.892199999999999704e+01
9.349995390428175100e-32	7.892700000000000671e+01
5.061162390952790835e-30	7.893000000000000682e+01
4.683160168641659436e-29	7.893500000000000227e+01
8.500870534463403601e-28	7.901200000000000045e+01
4.429654248672791053e-28	7.905299999999999727e+01
1.394527034562009495e-26	7.911899999999999977e+01
6.023357871632749863e-28	7.914900000000000091e+01
8.412588729318721276e-32	7.915800000000000125e+01
4.268334328905477014e-31	7.918099999999999739e+01
1.045195811865976721e-29	7.918800000000000239e+01
5.651511028111727474e-27	7.923199999999999932e+01
3.108716977442955103e-29	7.924500000000000455e+01
3.046212134876941068e-29	7.927299999999999613e+01
7.739675151128098605e-28	7.932899999999999352e+01
4.364836859925916300e-28	7.938500000000000512e+01
7.326454650100999446e-28	7.943200000000000216e+01
1.572813638940645982e-27	7.951999999999999602e+01
1.728945350320219503e-29	7.955700000000000216e+01
4.507691011041147051e-32	7.956999999999999318e+01
4.846742783682559314e-30	7.960699999999999932e+01
4.065800181084030394e-31	7.961100000000000421e+01
6.594540309616438266e-32	7.962800000000000011e+01
1.908724197261604841e-31	7.962900000000000489e+01
1.590158025712474839e-32	7.965600000000000591e+01
5.414427737936552668e-28	7.965800000000000125e+01
1.234238880081280571e-29	7.967000000000000171e+01
